0 level,01st level ,2nd level,3rd level,4th level,5th level,6th level,Nutrition_tree_ID,[Level],ChEBI_ID,CDNO Relationships ,Synonym,,parent,parent ID,term,term ID,relationship
,,,methionine,,,,03_methionine,[3],CHEBI:16811,is a,,,amino acid,CHEBI:33709,methionine,CHEBI:16811,is a
,,,phenylalanine ,,,,03_phenylalanine ,[3],CHEBI:28044,is a,,,amino acid,CHEBI:33709,phenylalanine,CHEBI:28044,is a
,,,proline,,,,03_proline,[3],CHEBI:26271,is a,,,amino acid,CHEBI:33709,proline,CHEBI:26271,is a
,,,serine ,,,,03_serine ,[3],CHEBI:17822,is a,,,amino acid,CHEBI:33709,serine,CHEBI:17822,is a
,,,threonine,,,,03_threonine,[3],CHEBI:26986,is a,,,amino acid,CHEBI:33709,threonine,CHEBI:26986,is a
,,,tryptophan ,,,,03_tryptophan ,[3],CHEBI:27897,is a,,,amino acid,CHEBI:33709,tryptophan,CHEBI:27897,is a
,,,tyrosine,,,,03_tyrosine,[3],CHEBI:18186,is a,,,amino acid,CHEBI:33709,tyrosine,CHEBI:18186,is a
,,,valine,,,,03_valine,[3],CHEBI:27266,is a,,,amino acid,CHEBI:33709,valine,CHEBI:27266,is a
,lipid,,,,,,01_lipid,[1],CHEBI:18059,is a,,,dietary nutritional component,unspecified CHEBI term,lipid,CHEBI:18059,is a
,,diglyceride,,,,,02_diglyceride,[2],CHEBI:18035,is a,,,lipid,CHEBI:18059,diglyceride,CHEBI:18035,is a
,,triglyceride,,,,,02_triglyceride,[2],CHEBI:17855,derived from,,,lipid,CHEBI:18059,triglyceride,CHEBI:17855,derived from
,,fatty acid,,,,,02_fatty acid,[2],CHEBI:35366,derived from,,,lipid,CHEBI:18059,fatty acid,CHEBI:35366,derived from
,,,cis-fatty acid,,,,03_cis-fatty acid,[3],CHEBI:166967,is a,equivalent chebi term,,fatty acid,CHEBI:35366,cis-fatty acid,CHEBI:166967,is a
,,,,saturated fatty acid,,,04_saturated fatty acid,[4],CHEBI:26607,derived from,,,cis-fatty acid,CHEBI:166967,saturated fatty acid,CHEBI:26607,derived from
,,,,,octanoic acid,,05_octanoic acid,[5],CHEBI:28837,is a,,,saturated fatty acid,CHEBI:26607,octanoic acid,CHEBI:28837,is a
,,,,,pentadecanoic acid,,05_pentadecanoic acid,[5],CHEBI:15756,is a,,,saturated fatty acid,CHEBI:26607,pentadecanoic acid,CHEBI:15756,is a
,,,,,tetracosanoic acid,,05_tetracosanoic acid,[5],CHEBI:28866,is a,,,saturated fatty acid,CHEBI:26607,tetracosanoic acid,CHEBI:28866,is a
,,,,,lauric acid (dodecanoic acid),,05_lauric acid (dodecanoic acid),[5],CHEBI:30805,is a,equivalent chebi term,,saturated fatty acid,CHEBI:26607,lauric acid (dodecanoic acid),CHEBI:30805,is a
,,,,,myristic acid (tetradecanoic acid),,05_myristic acid (tetradecanoic acid),[5],CHEBI:28875,is a,equivalent chebi term,,saturated fatty acid,CHEBI:26607,myristic acid (tetradecanoic acid),CHEBI:28875,is a
,,,,,palmitic acid (hexadecanoic acid),,05_palmitic acid (hexadecanoic acid),[5],CHEBI:15756,is a,equivalent chebi term,,saturated fatty acid,CHEBI:26607,palmitic acid (hexadecanoic acid),CHEBI:15756,is a
,,,,,heptadecanoic acid,,05_heptadecanoic acid,[5],CHEBI:32365,is a,,,saturated fatty acid,CHEBI:26607,heptadecanoic acid,CHEBI:32365,is a
,,,,,stearic acid (octadecanoic acid),,05_stearic acid (octadecanoic acid),[5],CHEBI:28842,is a,equivalent chebi term,,saturated fatty acid,CHEBI:26607,stearic acid (octadecanoic acid),CHEBI:28842,is a
,,,,,arachidic acid (eicosanoic acid),,05_arachidic acid (eicosanoic acid),[5],CHEBI:28822,is a,equivalent chebi term,,saturated fatty acid,CHEBI:26607,arachidic acid (eicosanoic acid),CHEBI:28822,is a
,,,,,behenic acid (docosanoic acid),,05_behenic acid (docosanoic acid),[5],CHEBI:28941,is a,equivalent chebi term,,saturated fatty acid,CHEBI:26607,behenic acid (docosanoic acid),CHEBI:28941,is a
,,,,,lignoceric acid (tetracosanoic acid) ,,05_lignoceric acid (tetracosanoic acid) ,[5],CHEBI:28866,is a,equivalent chebi term,,saturated fatty acid,CHEBI:26607,lignoceric acid (tetracosanoic acid),CHEBI:28866,is a
,,,,,propionic acid,,05_ propionic acid,[5],CHEBI:30768,is a,,,saturated fatty acid,CHEBI:26607,propionic acid,CHEBI:30768,is a
,,,,monounsaturated fatty acid,,,04_monounsaturated fatty acid,[4],CHEBI:25413,derived from,,,cis-fatty acid,CHEBI:166967,monounsaturated fatty acid,CHEBI:25413,derived from
,,,,,myristoleic acid,,05_myristoleic acid,[5],CHEBI:27781,is a,,,monounsaturated fatty acid,CHEBI:25413,myristoleic acid,CHEBI:27781,is a
,,,,,palmitoleic acid,,05_palmitoleic acid,[5],CHEBI:28716,is a,,,monounsaturated fatty acid,CHEBI:25413,palmitoleic acid,CHEBI:28716,is a
,,,,,oleic acid,,05_oleic acid,[5],CHEBI:16196,is a,,,monounsaturated fatty acid,CHEBI:25413,oleic acid,CHEBI:16196,is a
,,,,,palmitelaidic acid,,05_palmitelaidic acid,[5],CHEBI:59265,is a,,,monounsaturated fatty acid,CHEBI:25413,palmitelaidic acid,CHEBI:59265,is a
,,,,,elaidic acid,,05_elaidic acid,[5],CHEBI:27997,is a,,,monounsaturated fatty acid,CHEBI:25413,elaidic acid,CHEBI:27997,is a
,,,,,vaccenic acid (octadec-11-enoic acid),,05_vaccenic acid (octadec-11-enoic acid),[5],CHEBI:36023,is a,equivalent chebi term,,monounsaturated fatty acid,CHEBI:25413,vaccenic acid (octadec-11-enoic acid),CHEBI:36023,is a
,,,,,gondoic acid,,05_gondoic acid ,[5],CHEBI:32425,is a,equivalent chebi term,,monounsaturated fatty acid,CHEBI:25413,gondoic acid,CHEBI:32425,is a
,,,,,erucic acid,,05_erucic acid,[5],CHEBI:28792,is a,,,monounsaturated fatty acid,CHEBI:25413,erucic acid,CHEBI:28792,is a
,,,,,nervonic acid ((15)- tetracosenoic acid),,05_nervonic acid ((15)- tetracosenoic acid),[5],CHEBI:44247,is a,equivalent chebi term,,monounsaturated fatty acid,CHEBI:25413,nervonic acid ((15)- tetracosenoic acid),CHEBI:44247,is a
,,,,polyunsaturated fatty acid ,,,04_polyunsaturated fatty acid,[4],CHEBI:26208,derived from,equivalent chebi term,,cis-fatty acid,CHEBI:166967,polyunsaturated fatty acid,CHEBI:26208,derived from
,,,,,n-3 fatty acid (omega 3 pufa),,05_n-3 fatty acid (omega 3 pufa),[5],CHEBI:25681,is a,,,polyunsaturated fatty acid,CHEBI:26208,n-3 fatty acid (omega 3 pufa),CHEBI:25681,is a
,,,,,,stearidonic acid,06_stearidonic acid,[6],CHEBI:32389,is a,equivalent chebi term,,polyunsaturated fatty acid,CHEBI:26208,stearidonic acid,CHEBI:32389,is a
,,,,,,eicosatrienoic acid,06_eicosatrienoic acid,[6],CHEBI:53460,is a,equivalent chebi term,,polyunsaturated fatty acid,CHEBI:26208,eicosatrienoic acid,CHEBI:53460,is a
,,,,,,eicosatetraenoic acid,06_eicsoatetraenoic acid,[6],CHEBI:166893,is a,equivalent chebi term,,polyunsaturated fatty acid,CHEBI:26208,eicsoatetraenoic acid,CHEBI:166893,is a
,,,,,,"6,9,12,15,18,21-tetracosahexaenoic acid","7_6,9,12,15,18,21-tetracosahexaenoic acid",[6],CHEBI:77366,is a,equivalent chebi term,,polyunsaturated fatty acid,CHEBI:26208,"6,9,12,15,18,21-tetracosahexaenoic acid",CHEBI:77366,is a
,,,,,,α-linolenic acid,06_α-linolenic acid,[6],CHEBI:27432,is a,,,polyunsaturated fatty acid,CHEBI:26208,α-linolenic acid,CHEBI:27432,is a
,,,,,,icosapentaenoic acid,06_icosapentaenoic acid,[6],CHEBI:36006,is a,eicosapentaenoic acid (EPA),,polyunsaturated fatty acid,CHEBI:26208,icosapentaenoic acid,CHEBI:36006,is a
,,,,,,docosapentaenoic acid,06_docosapentaenoic acid,[6],CHEBI:61204,is a,,,polyunsaturated fatty acid,CHEBI:26208,docosapentaenoic acid,CHEBI:61204,is a
,,,,,,docosahexaenoic acid,06_docosahexaenoic acid,[6],CHEBI:36005,is a,,,polyunsaturated fatty acid,CHEBI:26208,docosahexaenoic acid,CHEBI:36005,is a
,,,,,,eicosatetraenoic acid (eta),06_eicosatetraenoic acid,[6],CHEBI:72785,is a,,,polyunsaturated fatty acid,CHEBI:26208,eicosatetraenoic acid,CHEBI:72785,is a
