CHEBI:190517	#organic iron compound
CHEBI:31604	#ferric ammonium citrate
CHEBI:49807	#lead(2+)
CHEBI:49713	#lithium(1+)
CHEBI:18291	#manganese(2+)
CHEBI:29041	#manganese(3+)
CHEBI:190422	#inorganic manganese salt
CHEBI:190423	#organic manganese salt
CHEBI:16793	#mercury(2+)
CHEBI:49414	#molybdenum(4+)
CHEBI:49446	#molybdenum(6+)
CHEBI:190424	#inorganic molybdenum salt
CHEBI:190425	#organic molybdenum salt
CHEBI:49786	#nickel(2+)
CHEBI:49847	#rubidium(1+)
CHEBI:60871	#selenium(2+)
CHEBI:190426	#selenium(4+)
CHEBI:190427	#selenium(6+)
CHEBI:190428	#inorganic selenium salt
CHEBI:190429	#organic selenium salt
CHEBI:35104	#strontium(2+)
CHEBI:30475	#tin(2+)
CHEBI:190496	#titanium(3+)
CHEBI:33004	#vanadium(2+)
CHEBI:29105	#zinc(2+)
CHEBI:190430	#inorganic zinc salt
CHEBI:190431	#organic zinc salt
CHEBI:37136	#barium(2+)
CHEBI:49547	#caesium(1+)
CHEBI:85545	#bismuth(3+)
CHEBI:37317	#lanthanum(2+)
CHEBI:169232	#Pentadecylic acid(d3)
CHEBI:17376	#cystine
CHEBI:16919	#creatine
CHEBI:3815	#collagen
CHEBI:4767	#elastin
CHEBI:5054	#fibrin
CHEBI:35143	#hemoglobin
CHEBI:7044	#myoglobin
CHEBI:190519	#beta-lactoglobulin
CHEBI:190521	#napin
CHEBI:190522	#gliadin
CHEBI:23652	#dextrins
CHEBI:25140	#maltodextrin
CHEBI:23456	#cyclodextrin
CHEBI:84395	#amylodextrin
CHEBI:3523	#cellodextrin
CHEBI:16966	#heteroglycan
CHEBI:17548	#alginic acid
CHEBI:3435	#carrageenan
CHEBI:37168	#ι-carrageenan
CHEBI:10583	#κ-carrageenan
CHEBI:37167	#λ-carrageenan
CHEBI:189560	#xanthan
CHEBI:24978	#ketose
CHEBI:24973	#ketohexose
CHEBI:33951	#psicose
CHEBI:26191	#polyol
CHEBI:68428	#maltitol
CHEBI:29864	#mannitol
CHEBI:17754	#glycerol
CHEBI:30911	#glucitol
CHEBI:17151	#xylitol
CHEBI:75323	#lactitol
CHEBI:150326	#isomalt
CHEBI:17113	#erythritol
CHEBI:17522	#alditol
CHEBI:18287	#L-fucose
CHEBI:65327	#D-xylose
CHEBI:6178	#L-arabinofuranose
CHEBI:17535	#L-arabinopyranose
CHEBI:6359	#lactulose
CHEBI:17716	#lactose
CHEBI:16024	#D-mannose
CHEBI:30248	#β-D-Gal-(1→3)-β-D-GlcNAc-(1→3)-β-D-Gal-(1→4)-D-Glc
CHEBI:18024	#D-galacturonic acid
CHEBI:18394	#6-O-α-D-glucopyranosyl-D-fructofuranose
CHEBI:26667	#sialic acid
CHEBI:181906	#Polydextrose
CHEBI:16261	#chitosan

